,ORIGIN_AIRPORT_ID,Address
0,13891,"Ontario, CA: Ontario International"
14,13931,"Norfolk, VA: Norfolk International"
20,14027,"West Palm Beach/Palm Beach, FL: Palm Beach International"
26,14057,"Portland, OR: Portland International"
58,14100,"Philadelphia, PA: Philadelphia International"
82,14107,"Phoenix, AZ: Phoenix Sky Harbor International"
241,14122,"Pittsburgh, PA: Pittsburgh International"
267,14193,"Pensacola, FL: Pensacola International"
270,14307,"Providence, RI: Theodore Francis Green State"
281,14321,"Portland, ME: Portland International Jetport"
283,14492,"Raleigh/Durham, NC: Raleigh-Durham International"
312,14524,"Richmond, VA: Richmond International"
314,14570,"Reno, NV: Reno/Tahoe International"
337,14576,"Rochester, NY: Greater Rochester International"
341,14635,"Fort Myers, FL: Southwest Florida International"
357,14679,"San Diego, CA: San Diego International"
466,14683,"San Antonio, TX: San Antonio International"
514,14730,"Louisville, KY: Louisville Muhammad Ali International"
526,14747,"Seattle, WA: Seattle/Tacoma International"
555,14771,"San Francisco, CA: San Francisco International"
596,14831,"San Jose, CA: Norman Y. Mineta San Jose International"
701,14843,"San Juan, PR: Luis Munoz Marin International"
714,14869,"Salt Lake City, UT: Salt Lake City International"
742,14893,"Sacramento, CA: Sacramento International"
827,14908,"Santa Ana, CA: John Wayne Airport-Orange County"
865,15016,"St. Louis, MO: St Louis Lambert International"
971,15304,"Tampa, FL: Tampa International"
1039,15370,"Tulsa, OK: Tulsa International"
1052,15376,"Tucson, AZ: Tucson International"
1063,12206,"Harlingen/San Benito, TX: Valley International"
1064,11337,"Duluth, MN: Duluth International"
1065,13930,"Chicago, IL: Chicago O'Hare International"
1066,12953,"New York, NY: LaGuardia"
1068,11996,"Greer, SC: Greenville-Spartanburg International"
1069,11057,"Charlotte, NC: Charlotte Douglas International"
1072,12266,"Houston, TX: George Bush Intercontinental/Houston"
1074,12511,"Joplin, MO: Joplin Regional"
1075,12945,"Lexington, KY: Blue Grass"
1077,11298,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
1078,13303,"Miami, FL: Miami International"
1080,13495,"New Orleans, LA: Louis Armstrong New Orleans International"
1081,11193,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
1083,11067,"Champaign/Urbana, IL: University of Illinois/Willard"
1085,14711,"State College, PA: University Park"
1087,12323,"Wilmington, NC: Wilmington International"
1090,12478,"New York, NY: John F. Kennedy International"
1092,13290,"Manhattan/Ft. Riley, KS: Manhattan Regional"
1096,11267,"Dayton, OH: James M Cox/Dayton International"
1098,12891,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional"
1099,14783,"Springfield, MO: Springfield-Branson National"
1101,14952,"Springfield, IL: Abraham Lincoln Capital"
1103,14814,"Shreveport, LA: Shreveport Regional"
1108,10408,"Appleton, WI: Appleton International"
1114,11612,"Evansville, IN: Evansville Regional"
1116,11982,"Killeen, TX: Robert Gray AAF"
1117,10994,"Charleston, SC: Charleston AFB/International"
1124,11274,"Dubuque, IA: Dubuque Regional"
1126,10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
1128,10792,"Buffalo, NY: Buffalo Niagara International"
1131,11049,"College Station/Bryan, TX: Easterwood Field"
1134,11973,"Gulfport/Biloxi, MS: Gulfport-Biloxi International"
1135,10747,"Brownsville, TX: Brownsville South Padre Island International"
1138,15411,"Tyler, TX: Tyler Pounds Regional"
1139,15919,"Fayetteville, AR: Northwest Arkansas Regional"
1140,13502,"Montrose/Delta, CO: Montrose Regional"
1144,14108,"Peoria, IL: General Downing - Peoria International"
1149,12992,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"
1156,13377,"Monroe, LA: Monroe Regional"
1157,11721,"Flint, MI: Bishop International"
1159,10268,"Waterloo, IA: Waterloo Regional"
1165,11423,"Des Moines, IA: Des Moines International"
1167,15401,"Texarkana, AR: Texarkana Regional-Webb Field"
1170,15023,"Santa Rosa, CA: Charles M. Schulz - Sonoma County"
1173,11003,"Cedar Rapids/Iowa City, IA: The Eastern Iowa"
1181,11775,"Sioux Falls, SD: Joe Foss Field"
1187,15249,"Tallahassee, FL: Tallahassee International"
1193,13076,"La Crosse, WI: La Crosse Regional"
1200,13367,"Moline, IL: Quad City International"
1204,11778,"Fort Smith, AR: Fort Smith Regional"
1210,11624,"Key West, FL: Key West International"
1211,10397,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
1215,10685,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington"
1222,10868,"Columbia, SC: Columbia Metropolitan"
1232,11921,"Grand Junction, CO: Grand Junction Regional"
1234,11042,"Cleveland, OH: Cleveland-Hopkins International"
1237,11109,"Colorado Springs, CO: City of Colorado Springs Municipal"
1239,11140,"Corpus Christi, TX: Corpus Christi International"
1247,11433,"Detroit, MI: Detroit Metro Wayne County"
1251,11637,"Fargo, ND: Hector International"
1257,11823,"Fort Wayne, IN: Fort Wayne International"
1262,11867,"Garden City, KS: Garden City Regional"
1265,11884,"Spokane, WA: Spokane International"
1272,11977,"Green Bay, WI: Green Bay Austin Straubel International"
1275,11980,"Grand Island, NE: Central Nebraska Regional"
1277,13230,"Harrisburg, PA: Harrisburg International"
1280,11986,"Grand Rapids, MI: Gerald R. Ford International"
1282,14842,"San Angelo, TX: San Angelo Regional/Mathis Field"
1284,14960,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal"
1285,10136,"Abilene, TX: Abilene Regional"
1288,13061,"Laredo, TX: Laredo International"
1289,11995,"Greensboro/High Point, NC: Piedmont Triad International"
1293,12191,"Houston, TX: William P Hobby"
